"x","y"
397550.342760309,6909434.46165905
397531.809411219,6909154.84849328
397649.874178404,6909890.16583203
397663.091992764,6909837.26245834
397550.197059753,6909145.13937191
397549.39271045,6909159.45812574
397628.081859389,6909258.12256869
396038.79764318,6909813.19353714
396033.739709896,6909874.8549143
396064.253928689,6909877.08658192
396159.361513299,6909710.32890927
396061.57573392,6909804.29908594
396213.090027923,6909705.36257499
396192.871943372,6909696.22033462
396095.60953263,6909802.60810099
396082.030063869,6909833.38139747
396317.083659663,6909705.70097132
396710.108326906,6909378.03189531
396607.109231193,6909636.02812791
396636.951269568,6909197.54044212
396649.220946876,6909406.00255987
394365.369661904,6909893.17828696
394355.2231764,6909556.60625199
395386.846370699,6909493.41740969
395280.492370619,6909513.90459069
395286.154206749,6909554.32169797
395379.213314052,6909513.59347938
395307.16676071,6909566.00874602
395326.986860763,6909544.93476536
395616.891059418,6909788.75611417
395665.673898363,6909803.02297153
395702.936110339,6909816.31413275
395954.456882074,6909837.30230011
395956.840083893,6909853.49332215
396043.965360409,6909855.22893956
391516.55,6909869.55
391196.13218134,6909881.36078405
391540.181924822,6909895.48781296
391568.932781685,6909835.6186595
392209.759907417,6909274.38190978
392246.491008656,6909247.29236346
392215.388743085,6909192.74769072
392237.067731613,6909301.47775074
394332.560598452,6909459.95335844
394383.86,6909805.79866667
394331.18440622,6909478.14963433
394386.910838294,6909824.50006022
391158.321138981,6909861.85351002
391256.046858455,6909876.29948144
391374.291008045,6909498.03087961
391157.890638247,6909802.23400829
391181.599215496,6909891.33730445
391177.957706192,6909861.55392037
391386.102702703,6909874.86936937
391343.506417165,6909869.94322471
391369.975325154,6909554.27119536
391340.70524466,6909437.67687874
391531.130763601,6909875.73647638
391527.689000446,6909907.42224453
390998.885924113,6909746.26971644
391006.171549678,6909769.44367582
391025.55,6909849.2
391058.309107048,6909827.5810815
391026.291346625,6909791.39554739
391123.419251104,6909856.98642004
391081.00268387,6909832.3335892
391006.144934169,6909843.1452776
390995.995741388,6909635.86026719
391007.095710461,6909811.89996363
391284.45316853,6909877.64465372
390846.481418106,6909807.79712915
390986.160080914,6909875.0530189
390933.855286687,6909723.57886449
390939.345761735,6909693.41358462
390993.728633272,6909735.27911396
390959.799404395,6909746.03369244
390979.173215236,6909317.94191828
390964.44527447,6909808.48742683
391091.70540406,6909848.00473015
390926.706717368,6909740.75411007
390910.900437338,6909868.10928044
391028.385605847,6909776.76788961
391132.511760032,6909872.18965102
390952.251079723,6909863.85974381
390977.621209956,6909722.79056277
390793.011994162,6909839.69504777
390979.597540574,6909897.82227216
390833.229209986,6909840.26630187
390937.396555697,6909712.22644473
390742.291818116,6909815.16333942
390959.957371335,6909832.381009
390877.52821369,6909901.14680022
390898.518812149,6909826.32395047
390879.201668907,6909856.19237231
390868.126783303,6909873.59130911
390964.175311763,6909871.11793057
390840.696513485,6909889.23948723
390946.767204301,6909902.33225806
390869.824731868,6909817.25351299
390945.010383659,6909671.24596922
390936.146746366,6909774.85276004
390980.395711817,6909761.27362281
390755.784621236,6909438.34725436
390968.319407471,6909891.34929154
390829.396018483,6909811.58977415
390953.747624412,6909890.25681699
390947.235778942,6909643.56672489
390923.191935678,6909792.05911033
390852.348577385,6909867.93945916
390829.282197452,6909861.46560798
390839.920934183,6909770.40229299
390886.179674797,6909830.78626741
390927.777322806,6909682.54267809
390901.608970804,6909695.50636112
390604.275033735,6909805.48919324
390713.615882353,6909422.97213819
390149.111785952,6909213.26230713
390679.156410329,6909408.93083697
390663.722284389,6909482.5629568
390622.374400802,6909726.89562796
390594.741391827,6909399.63732051
390715.885710517,6909393.24684861
390675.097205284,6909429.39641371
390629.860736552,6909813.46838422
390777.812191358,6909808.25745885
390914.214444741,6909903.25476
390396.339850058,6909364.43623091
390536.926407076,6909308.95372157
390545.024776125,6909324.34289294
390567.986977452,6909788.52522489
390554.595948854,6909813.39843651
390606.079487179,6909424.14358974
390609.447610683,6909788.91526951
390733.131042144,6909832.9709505
390647.246282703,6909429.84799548
390632.118875311,6909387.2381505
390727.756373407,6909439.1477353
390628.468799115,6909429.96159011
390622.320218579,6909693.23005465
389791.834169339,6909270.64969244
